,ID,ageGap,attendReligiousServiceFreq,employmentStatus,genderSubjectAttractedTo,houseType,householdAdults_num,householdIncome,householdMinor_num,householdSize,interracial,isHispanic,isLivingTogether,isMarried,isMetroArea,metAs_coworkers,metAs_customerAndClient,metAs_workNeighbors,metIn_church,metIn_college,metIn_military,metIn_privateParty,metIn_public,metIn_restaurantOrBar,metIn_school,metIn_voluntaryOrg,metOn_blindDate,metOn_businessTrip,metOn_vacation,metOnline_all,metOnline_chat,metOnline_datingSiteOrApp,metOnline_gaming,metOnline_nonDatingSite,metOnline_other,metOnline_socialNetwork,metThru_family,metThru_friend,metThru_notInternetDatingService,metThru_orAs_neighbors,met_YearFraction,met_to_shipStart_diff,moveIn_YearFraction,numRelativesSeePerMonth,ownHouseRentOther,partnerAge,partnerEduc_years,partnerGender,partnerMotherEduc_years,partnerParty_DemPos_RepNeg,partnerRace,partyDifference,region,relationshipQuality,relationshipQuality_isGood,relationshipQuality_num,season_met,season_shipStart,sexFrequency,shipStart_YearFraction,shipStart_to_moveIn_YearFraction,straightGayLesbian,subjectAge,subjectAgeWhenMet,subjectCountryWhenMetPartner,subjectEduc_years,subjectGender,subjectGrewUpInUS,subjectMotherEduc_years,subjectParty_DemPos_RepNeg,subjectRace,subjectSexualIdentity,timesDivorcedOrWidowed,whoEarnedMore
1,2019003,3.0,Never,unemployed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,150000,2,4,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1983.375,12.25,1996.125,1.0,Owned or being bought by you or someone in your household,52.0,17.0,[Partner Name] is Male,12.0,-1,White,1,Midwest,Excellent,1,5,spring,summer,Once a month or less,1995.625,0.5,hetero couple,55,21.0,United States,17.0,Female,United States,16.0,-2,White,heterosexual or straight,0.0,[Partner Name] earned more
2,2145527,2.0,Once or twice a month,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,225000,3,5,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,2006.0416,0.41674805,2006.5416,0.0,Owned or being bought by you or someone in your household,45.0,14.0,[Partner Name] is Female,9.0,1,White,0,South,Good,1,4,winter,summer,2 to 3 times a month,2006.4584,0.08325195,hetero couple,47,36.0,"Another country, please specify",17.0,Male,"Another country, please specify",7.5,1,White,heterosexual or straight,0.0,I earned more
4,2623465,0.0,Once a year or less,employed,"sexually attracted mostly to opposite gender, sometimes same gender",A one-family house detached from any other house,4,187500,0,4,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,1983.7084,0.08325195,1984.625,0.0,Owned or being bought by you or someone in your household,59.0,16.0,[Partner Name] is Male,14.0,3,White,0,South,Excellent,1,5,autumn,autumn,3 to 6 times a week,1983.7916,0.833374,hetero couple,59,25.0,United States,16.0,Female,United States,17.0,3,White,heterosexual or straight,0.0,[Partner Name] earned more
5,2917189,1.0,Once a week,retired,sexually attracted only to same gender,A one-family house detached from any other house,2,80000,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,1981.9584,0.5,1982.4584,0.0,Owned or being bought by you or someone in your household,60.0,16.0,[Partner Name] is Female,12.0,0,White,3,South,Good,1,4,winter,summer,Once a month or less,1982.4584,0.0,hetero couple,59,23.0,United States,12.0,Male,United States,12.0,3,White,bisexual,0.0,[Partner Name] earned more
6,2919423,1.0,Once a week,retired,sexually attracted only to opposite gender,A one-family house detached from any other house,2,55000,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,1966.7916,0.25,1969.625,0.0,Owned or being bought by you or someone in your household,67.0,13.0,[Partner Name] is Male,12.0,-1,White,3,Midwest,Excellent,1,5,autumn,winter,Once a month or less,1967.0416,2.583374,hetero couple,66,15.0,United States,12.0,Female,United States,7.5,2,White,heterosexual or straight,0.0,[Partner Name] earned more
7,2936569,0.0,Never,retired,sexually attracted only to opposite gender,A one-family house attached to one or more houses,2,67500,0,2,no,False,Yes,"Yes, I am Married",Non-Metro,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1967.375,0.08337402,1970.625,2.0,Owned or being bought by you or someone in your household,65.0,20.0,[Partner Name] is Male,12.0,1,White,2,Midwest,Excellent,1,5,spring,summer,2 to 3 times a month,1967.4584,3.166626,hetero couple,65,15.0,United States,14.0,Female,United States,12.0,3,White,heterosexual or straight,0.0,[Partner Name] earned more
10,2089701,10.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,300000,2,4,no,False,Yes,"Yes, I am Married",Metro,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2008.5416,0.0,2008.875,3.0,Owned or being bought by you or someone in your household,43.0,16.0,[Partner Name] is Female,12.0,1,White,0,South,Fair,0,3,summer,summer,2 to 3 times a month,2008.5416,0.33337402,hetero couple,33,24.0,United States,16.0,Male,United States,16.0,1,White,heterosexual or straight,0.0,[Partner Name] earned more
14,2710813,2.0,Never,employed,sexually attracted only to opposite gender,A one-family house detached from any other house,2,225000,1,3,yes,False,Yes,"Yes, I am Married",Metro,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,2007.2916,4.083374,2012.7084,0.0,Rented for cash,35.0,17.0,[Partner Name] is Female,16.0,2,Asian or Pacific Islander,1,Midwest,Good,1,4,spring,spring,Once or twice a week,2011.375,1.333374,hetero couple,37,27.0,United States,20.0,Male,"Another country, please specify",16.0,3,White,heterosexual or straight,0.0,I earned more
15,2578951,4.0,Once a year or less,employed,"sexually attracted mostly to opposite gender, sometimes same gender",A one-family house detached from any other house,2,92500,0,2,no,False,Yes,"Yes, I am Married",Metro,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,2002.7916,2.0,2006.375,0.0,Rented for cash,42.0,17.0,[Partner Name] is Male,17.0,3,White,0,South,Excellent,1,5,autumn,autumn,2 to 3 times a month,2004.7916,1.583374,hetero couple,38,23.0,United States,20.0,Female,United States,16.0,3,White,bisexual,0.0,[Partner Name] earned more
16,2154415,3.0,A few times a year,employed,sexually attracted only to opposite gender,A one-family house attached to one or more houses,2,112500,0,2,no,False,Yes,"No, I am not Married",Metro,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2007.4584,0.08325195,2013.4584,8.0,Rented for cash,37.0,13.0,[Partner Name] is Male,13.0,0,White,1,West,Excellent,1,5,summer,summer,Once a day or more,2007.5416,5.916748,hetero couple,34,24.0,United States,14.0,Female,United States,14.0,-1,White,heterosexual or straight,0.0,[Partner Name] earned more
